Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-03-06,2141.0,2150.0,2157.0,2138.0,9749.0,-0.2562,0.8852,3355.0,3134.37,3445.45,2728.12,24884.12,7372.01,5758.22,400.83,30510.73,1009.25,60.59,14407.12
2018-03-07,2100.0,2141.0,2147.0,2097.0,21773.0,-1.915,2.3354,9062.0,3124.44,3426.62,2726.8,24801.36,7396.65,5699.71,400.37,30196.92,1012.67,59.12,14239.42
2018-03-08,2107.5,2101.0,2115.0,2093.0,15786.0,0.3571,1.0476,5328.0,3097.38,3444.17,2738.97,24895.21,7427.95,5806.93,402.09,30654.52,1026.14,59.37,14212.43
2018-03-09,2120.0,2110.0,2134.0,2093.0,12055.0,0.5931,1.9454,6974.0,3062.02,3463.81,2786.57,25335.74,7560.81,5849.0,406.38,30996.21,1030.32,59.77,14061.37
2018-03-12,2093.0,2121.0,2124.0,2091.0,13292.0,-1.2736,1.5566,4307.0,3106.71,3484.15,2783.02,25178.61,7588.33,5886.95,407.95,31594.33,1032.4,58.92,14054.39
2018-03-13,2103.0,2094.0,2107.0,2087.5,12739.0,0.4778,0.9317,3860.0,3096.04,3466.91,2765.31,25007.03,7511.01,5834.19,406.54,31601.45,1023.93,59.28,13845.57
2018-03-14,2089.5,2101.5,2126.5,2087.0,12811.0,-0.6419,1.8783,5305.0,3125.63,3447.13,2749.48,24758.12,7496.81,5827.94,404.71,31435.01,1020.95,58.88,13952.33
2018-03-15,2082.5,2090.5,2104.0,2070.5,9407.0,-0.335,1.6033,3718.0,3114.25,3446.87,2747.33,24873.66,7481.74,5844.04,404.41,31541.1,1026.42,58.74,13986.81
2018-03-16,2083.0,2081.0,2098.5,2076.5,9302.0,0.024,1.0564,5289.0,3118.46,3424.64,2752.01,24946.51,7481.99,5793.47,404.34,31501.97,1029.47,58.77,14011.57
2018-03-19,2087.0,2079.0,2096.5,2069.0,10419.0,0.192,1.3202,3349.0,3087.94,3434.54,2712.92,24610.91,7344.24,5781.69,400.21,31513.76,1019.19,58.86,13977.04
2018-03-20,2079.0,2085.0,2096.5,2071.0,10347.0,-0.3833,1.2218,74710.0,3089.5,3446.49,2716.94,24727.27,7364.3,5777.48,400.44,31549.93,1025.01,58.5,14017.36
2018-03-21,2084.0,2080.0,2092.0,2062.5,10844.0,0.2405,1.419,3657.0,3051.08,3436.36,2711.93,24682.31,7345.29,5733.49,400.27,31414.52,1023.45,58.66,13954.91
2018-03-22,2073.0,2083.0,2105.5,2063.0,12296.0,-0.5278,2.0393,3779.0,3086.73,3417.98,2643.69,23957.89,7166.68,5657.7,394.07,31071.05,1009.74,58.46,13998.45
